GPA,Semester_GPA,CGPA,Stress_Index,Attendance_Rate,Study_Hours_per_Day,Assignment_Delay_Days,Part_Time_Job,Dropout
1.23,1.13,1.09,6.7,72.8,6.2,2,0,1
1.49,1.79,1.78,5.8,74.5,5.65,0,1,1
1.5,1.52,1.49,6.6,99.3,3.42,2,0,1
3.15,3.18,3.1,6.2,83.3,3.7,1,1,0
2.99,2.64,2.66,6.8,76.6,3.53,1,1,1
0.74,0.52,0.52,4.9,67.9,2.79,3,0,1
1.11,1.12,1.11,10.0,79.8,4.12,3,0,1
0.51,0.48,0.44,5.2,77.5,2.32,1,0,1
3.75,3.9,3.9,4.6,76.4,3.16,1,1,0
3.11,3.08,3.08,6.5,75.6,2.48,0,0,0
0.54,0.76,0.86,5.9,71.0,5.01,2,1,1
4.0,4.0,3.98,2.2,86.3,3.04,1,0,0
4.0,3.76,3.69,5.8,94.3,2.34,1,0,0
0.86,0.77,0.77,5.6,76.2,4.34,2,1,1
2.56,3.0,3.01,5.8,81.8,6.14,2,0,1
2.16,2.1,2.1,6.0,74.5,3.46,2,0,1
3.03,3.74,3.77,4.7,65.7,3.85,2,1,0
3.3,3.06,3.05,5.4,79.5,4.89,4,0,0
1.46,1.27,1.27,6.5,77.9,3.08,2,0,0
2.12,2.7,2.67,7.8,80.3,2.06,1,0,1
0.38,0.1,0.03,5.2,84.9,2.87,2,0,1
0.09,0.0,0.06,9.1,81.1,2.79,2,1,1
3.11,3.21,3.15,1.6,72.7,2.87,1,0,0
0.41,0.62,0.62,4.0,75.0,2.12,1,0,1
2.92,3.16,3.12,3.9,87.0,5.38,1,0,0
1.99,1.83,1.8,3.4,82.9,3.5,2,1,0
2.97,2.53,2.51,6.7,84.2,4.02,1,0,0
2.94,2.55,2.55,7.4,86.0,4.2,2,0,0
3.43,3.4,3.46,6.1,81.2,3.76,4,1,0
1.58,1.2,1.15,8.1,78.3,4.88,2,0,1
1.75,1.72,1.67,6.5,88.8,3.89,1,0,1
0.0,0.42,0.46,6.1,75.8,1.96,1,1,1
1.51,1.44,1.44,7.2,83.1,5.05,5,1,1
0.98,1.39,1.39,6.5,69.2,2.95,2,0,1
3.49,3.7,3.66,3.3,94.6,3.24,1,1,0
1.79,1.73,1.71,2.2,80.4,1.66,1,0,1
0.86,1.05,1.06,6.7,90.6,4.2,2,0,1
1.35,1.54,1.59,5.1,76.4,3.99,2,0,1
1.77,1.76,1.76,6.3,80.2,3.14,1,0,0
1.26,1.18,1.16,7.4,80.1,2.14,1,1,1
0.14,0.11,0.12,5.8,77.3,3.23,4,1,1
1.21,1.42,1.42,7.1,83.9,3.47,4,1,1
2.51,2.68,2.66,6.3,74.8,2.9,1,0,0
2.93,3.14,3.17,4.8,75.1,3.82,3,0,0
1.55,1.61,1.61,6.5,84.8,3.35,1,0,1
0.53,0.54,0.54,4.6,87.5,4.54,1,0,1
1.81,1.96,1.85,4.4,77.9,5.61,2,0,0
2.83,2.61,2.62,6.3,80.7,3.43,2,0,0
3.52,3.3,3.25,3.2,69.4,6.41,4,0,0
1.64,1.45,1.38,5.0,82.7,4.22,1,0,1
2.54,2.53,2.55,4.9,75.2,6.03,1,1,0
2.5,2.77,2.82,6.6,90.3,3.84,0,0,0
1.52,1.31,1.25,5.6,74.5,4.05,1,0,1
2.81,2.91,2.9,4.7,90.9,4.61,1,0,0
1.92,2.05,2.05,6.2,79.7,6.77,2,1,1
1.35,1.24,1.19,6.4,82.9,4.1,3,0,1
3.0,3.24,3.24,5.7,91.1,2.97,1,1,0
1.11,1.01,0.98,3.1,75.2,2.86,1,1,1
0.0,0.0,0.0,6.9,69.1,4.56,2,1,1
2.27,2.0,2.02,7.0,73.6,4.29,1,1,0
0.18,0.0,0.0,6.7,73.8,2.66,3,1,1
3.09,3.48,3.5,9.0,84.0,3.68,3,0,0
2.24,1.91,1.94,7.3,71.5,3.03,0,1,0
1.7,1.38,1.3,5.6,78.6,4.26,0,0,1
1.54,1.28,1.28,5.5,87.1,3.0,1,1,1
1.48,1.1,1.1,9.6,64.6,4.88,3,1,1
3.04,3.21,3.16,5.4,89.9,4.19,0,0,0
4.0,3.75,3.75,3.4,89.2,4.34,0,0,0
2.09,1.86,1.87,8.7,93.5,3.29,3,1,1
1.81,1.08,1.08,7.6,85.0,5.44,4,0,1
1.24,1.0,0.97,6.3,69.7,4.33,1,0,1
3.46,3.83,3.83,7.8,93.9,4.98,1,0,0
3.16,2.83,2.76,3.7,88.3,1.65,3,1,0
3.47,3.1,2.98,3.3,84.5,4.38,3,1,1
2.54,2.38,2.38,6.1,87.0,5.61,2,0,0
3.2,3.21,3.29,5.6,96.4,3.73,2,0,1
3.03,3.6,3.6,4.2,72.0,5.09,4,0,0
1.44,1.9,1.92,8.6,91.4,3.97,3,0,1
1.42,1.9,1.91,8.5,79.8,4.16,3,0,0
4.0,3.97,3.9,4.5,90.7,1.37,3,1,0
2.1,2.19,2.19,6.9,77.9,3.54,5,0,0
2.71,2.71,2.71,4.3,73.1,3.66,1,1,0
2.32,2.38,2.41,6.1,83.6,4.38,2,1,1
2.28,1.57,1.6,8.4,75.9,4.61,1,0,1
1.86,1.78,1.78,5.8,81.5,5.35,3,0,0
3.79,3.09,3.09,6.6,99.8,4.84,0,0,0
2.36,2.31,2.31,5.4,81.1,4.35,1,1,1
1.43,1.16,1.17,3.8,69.3,2.03,2,0,1
4.0,4.0,4.0,1.7,92.3,3.26,3,1,0
1.24,1.08,1.11,6.0,69.0,3.98,4,0,1
2.68,2.33,2.37,2.2,87.8,4.69,1,0,0
3.44,3.59,3.58,4.2,76.3,5.16,0,0,0
3.69,3.18,3.13,5.3,88.5,3.63,3,0,0
1.08,0.79,0.87,2.5,76.5,6.02,7,0,1
3.34,3.65,3.66,6.1,77.2,6.08,1,0,0
2.89,3.29,3.24,4.3,79.6,5.28,0,0,0
2.58,2.47,2.42,2.4,84.1,4.95,0,0,0
2.97,2.88,2.93,5.1,72.6,5.48,1,1,0
1.81,1.94,1.88,3.5,88.5,2.53,4,0,1
3.03,2.94,2.98,5.5,84.4,6.71,3,0,0
0.74,0.82,0.85,7.6,73.6,5.49,3,0,1
2.74,2.88,2.88,8.3,100.0,4.07,2,0,1
3.51,3.32,3.33,5.6,67.5,4.47,2,0,0
1.6,1.75,1.77,8.4,81.4,4.02,0,0,1
1.58,1.73,1.7,5.9,75.5,1.93,3,0,1
3.52,4.0,4.0,7.3,80.9,3.7,1,0,0
1.47,1.11,1.11,10.0,98.7,4.62,1,1,0
1.26,1.13,1.13,6.4,78.3,3.85,4,0,1
2.77,3.1,3.12,7.8,85.1,3.17,1,1,1
1.73,1.33,1.37,5.2,85.4,5.61,0,0,0
1.38,1.4,1.39,6.4,78.0,3.19,2,1,0
2.34,2.21,2.13,8.3,78.4,4.26,0,1,0
4.0,3.78,3.74,6.7,86.1,6.18,4,0,0
0.61,0.68,0.68,6.0,60.8,5.04,3,1,1
1.37,0.71,0.71,6.7,82.8,3.61,0,1,1
0.48,0.31,0.29,4.4,77.7,4.64,1,0,1
3.17,2.95,2.95,5.4,90.9,5.11,2,1,0
2.31,2.23,2.2,7.5,83.8,1.84,2,1,1
3.09,2.81,2.83,6.7,84.5,5.14,1,1,1
0.1,0.73,0.75,6.1,90.2,2.27,2,0,1
1.45,1.49,1.43,1.6,78.0,5.31,0,1,1
3.0,3.1,3.25,4.0,90.4,4.01,1,0,0
1.3,0.95,0.91,6.2,86.4,3.18,2,1,1
1.71,1.39,1.35,6.2,65.9,3.74,1,1,1
0.4,0.0,0.06,6.2,73.8,4.97,2,0,1
3.32,3.69,3.7,5.3,78.9,3.85,1,0,1
1.76,1.26,1.26,9.5,77.3,3.38,3,1,1
1.65,1.92,1.97,9.4,82.2,3.37,3,1,1
3.9,3.76,3.76,3.6,90.7,5.05,2,0,0
2.07,1.82,1.82,5.0,88.6,1.68,3,0,0
3.35,3.1,3.16,5.0,81.2,3.57,2,0,0
0.88,0.67,0.71,3.5,75.8,0.84,2,0,0
2.65,2.63,2.68,4.2,85.9,4.2,3,0,1
0.6,0.8,0.83,3.5,75.3,2.37,1,0,1
1.4,1.56,1.57,8.6,86.4,2.17,3,1,0
1.1,1.48,1.45,4.1,76.6,5.52,4,1,0
2.14,2.67,2.67,8.0,74.8,3.13,0,1,0
1.19,1.21,1.21,5.7,77.6,4.63,3,0,1
1.51,1.95,1.89,5.3,72.5,4.67,2,0,0
2.42,2.59,2.61,5.7,79.5,3.82,4,1,1
2.32,1.71,1.71,3.2,85.3,4.57,1,0,0
3.28,2.83,2.8,4.1,86.4,2.07,1,0,0
3.19,3.38,3.41,7.8,81.3,3.41,1,0,0
1.32,1.39,1.36,8.1,66.2,3.52,2,1,1
0.21,0.29,0.29,6.1,86.5,2.95,4,1,0
1.19,1.1,1.05,6.4,82.4,1.99,5,0,1
3.2,3.54,3.54,8.0,87.2,3.75,2,0,0
3.6,3.93,3.93,6.6,76.1,6.58,1,0,0
3.42,3.57,3.58,4.8,89.1,4.76,2,0,0
1.43,1.08,1.08,7.3,88.3,4.09,4,1,0
1.87,1.45,1.46,4.8,66.1,4.11,0,1,0
0.44,0.97,1.03,5.0,82.7,5.23,0,0,0
2.25,2.07,2.07,6.9,100.0,3.58,3,0,0
1.3,1.64,1.64,5.3,61.5,2.96,3,0,1
3.56,3.92,3.92,5.6,93.2,4.4,3,0,0
0.36,0.81,0.84,4.8,68.9,4.36,2,0,1
1.04,1.34,1.29,6.6,78.6,1.49,1,1,1
0.68,0.4,0.47,6.7,81.1,3.88,5,0,1
2.44,1.76,1.77,1.5,61.9,3.03,2,1,1
1.63,1.74,1.75,6.1,85.7,3.88,2,1,0
0.0,0.0,0.0,8.7,82.6,1.04,3,1,1
1.95,1.83,1.86,4.5,80.2,4.87,1,0,0
2.7,2.44,2.39,4.7,77.0,5.66,2,1,1
1.75,1.52,1.52,5.5,77.3,4.31,2,0,1
1.7,1.62,1.67,4.6,87.7,2.07,1,1,1
2.48,2.38,2.37,8.0,75.7,4.6,1,0,1
1.89,1.84,1.9,3.8,93.3,3.97,5,1,1
1.75,2.08,2.13,8.4,76.3,4.02,2,0,1
1.85,1.63,1.58,4.8,68.3,4.16,2,1,1
2.34,2.12,2.17,7.8,91.2,2.73,1,0,1
0.0,0.33,0.24,6.1,82.5,3.16,1,1,1
1.46,1.25,1.21,8.0,94.8,3.99,1,0,0
0.57,0.76,0.75,4.0,82.4,4.73,1,1,1
0.9,0.72,0.61,7.9,71.3,3.62,1,1,1
4.0,3.86,3.85,2.8,81.2,4.69,5,0,0
0.67,0.6,0.56,8.2,88.2,5.24,4,0,1
4.0,3.76,3.77,6.1,99.9,5.03,4,0,0
2.77,3.1,3.14,3.0,77.3,4.24,1,0,1
2.0,1.88,1.88,4.2,85.7,4.23,3,0,1
4.0,3.84,3.9,1.0,83.2,1.66,1,0,0
1.36,1.76,1.66,7.5,77.0,3.35,6,1,1
1.12,1.2,1.09,8.0,71.2,5.2,0,0,1
1.87,1.89,1.92,4.9,87.9,1.99,1,1,0
3.17,2.82,2.82,2.7,85.2,5.2,1,1,1
2.32,2.77,2.77,6.6,80.8,4.99,3,0,1
3.04,2.58,2.55,2.7,79.1,4.46,3,1,1
1.95,1.53,1.52,7.0,89.5,4.26,1,0,1
2.51,2.34,2.26,6.6,83.8,4.57,4,0,0
1.74,1.34,1.34,7.6,76.2,4.56,3,0,0
2.96,2.73,2.73,2.1,82.5,3.94,1,0,0
1.21,0.94,0.94,6.9,81.2,6.73,3,1,1
3.05,2.9,2.89,6.8,97.5,5.18,2,0,0
2.92,2.86,2.91,8.0,77.6,2.57,2,0,1
2.19,1.92,1.9,3.4,77.5,3.07,5,0,1
0.85,1.41,1.5,6.5,99.8,2.36,2,1,1
1.47,1.36,1.43,5.5,81.4,5.12,3,1,1
0.35,0.28,0.28,5.1,65.9,3.25,1,0,1
1.4,1.66,1.68,6.0,93.0,1.66,2,1,1
1.04,1.0,1.0,4.7,77.7,5.56,0,0,1
3.13,2.46,2.48,8.1,77.0,3.01,1,0,1
2.96,2.62,2.6,5.8,89.3,5.16,3,1,1
2.5,2.05,2.1,5.3,74.1,5.31,3,0,0
3.47,3.76,3.82,6.9,96.8,4.63,2,1,0
2.14,2.47,2.51,7.4,92.0,4.52,0,0,0
3.46,2.72,2.68,7.9,75.4,3.51,2,1,0
1.23,0.89,0.96,7.9,71.6,4.7,4,0,1
3.25,3.03,2.94,4.1,100.0,4.2,3,0,0
3.2,3.61,3.61,3.9,77.1,5.36,6,0,1
3.51,3.31,3.34,3.5,84.5,3.05,1,1,0
2.9,3.03,3.03,7.5,95.6,3.59,1,1,0
1.7,1.51,1.49,6.3,79.4,3.75,1,0,1
0.0,0.0,0.0,5.8,72.8,2.08,3,1,1
2.47,2.27,2.35,7.2,82.2,1.99,1,1,1
3.36,3.5,3.5,7.0,82.6,4.87,1,1,0
0.22,0.22,0.23,5.4,64.4,0.5,3,1,1
1.7,1.24,1.14,5.2,87.4,4.58,1,0,0
2.52,2.82,2.82,7.6,84.4,2.82,2,0,0
2.96,3.3,3.27,6.2,100.0,5.09,2,0,0
3.31,3.94,3.94,4.8,84.1,3.32,4,1,0
1.88,1.95,1.92,6.7,77.6,4.72,2,0,0
2.06,2.0,1.98,8.2,74.4,4.39,2,0,1
3.33,3.53,3.53,5.7,86.0,3.71,3,1,0
3.84,3.85,3.85,5.3,99.2,4.87,1,0,0
1.98,1.85,1.84,6.3,72.4,2.06,1,1,0
3.33,2.81,2.81,4.4,87.6,3.63,2,1,1
3.07,2.98,3.01,6.3,71.0,3.38,3,0,0
1.43,1.44,1.44,6.4,76.8,3.24,0,0,0
2.2,2.12,2.06,4.2,94.9,3.66,1,0,0
1.18,1.33,1.33,5.5,78.0,1.68,3,0,1
4.0,3.87,3.85,5.1,93.4,4.96,1,0,0
1.42,1.79,1.75,6.9,94.1,2.45,4,0,1
0.6,0.0,0.0,6.4,87.0,4.54,1,0,1
3.39,3.32,3.26,5.1,75.0,4.3,0,0,0
2.59,2.19,2.22,4.1,79.1,4.16,1,0,1
1.67,1.66,1.67,6.8,72.3,5.63,2,1,1
2.69,2.43,2.43,9.0,91.5,3.46,1,1,0
4.0,4.0,4.0,4.9,80.1,3.7,2,0,0
2.69,2.27,2.28,5.9,77.8,3.92,2,0,0
0.86,1.12,1.13,5.0,71.5,2.37,0,1,1
